Analysis,Compound,Beta,SE,P_value,N
Sex_Male,PFOA,-0.5046631722610437,0.24605964885140627,0.04043733534840694,1552
Sex_Male,PFOS,-0.24788904061938793,0.2076068457002435,0.23264907461860102,1552
Sex_Female,PFOA,-1.0451160489828362,0.23485694309232982,9.165386795207701e-06,1646
Sex_Female,PFOS,-0.5831997672900381,0.1997702109015449,0.0035554713711692418,1646
Age_<50,PFOA,-0.5192765950806486,0.19639008635857977,0.008263009815331613,1778
Age_<50,PFOS,-0.35744371789099716,0.1687630484707053,0.034312317964544856,1778
Age_≥50,PFOA,-1.1183811814277673,0.29401940624061285,0.00014859554520292958,1420
Age_≥50,PFOS,-0.48439779803684246,0.24617538602448896,0.049298733442798955,1420
