,PFOA,PFOS,PFHxS,PFNA
PFOA,1.0,0.6773374296540545,0.5108440696039127,0.6373381222631828
PFOS,0.6773374296540545,1.0,0.5386825937708938,0.5485722107619678
PFHxS,0.5108440696039127,0.5386825937708938,1.0,0.32224068592691957
PFNA,0.6373381222631828,0.5485722107619678,0.32224068592691957,1.0
