,PFOA,PFOS,PFHxS,PFNA
PFOA,1.0,0.7021830598258645,0.594905956750072,0.6505366948357032
PFOS,0.7021830598258645,1.0,0.6282496560366542,0.6413268864614505
PFHxS,0.594905956750072,0.6282496560366542,1.0,0.41068478179795137
PFNA,0.6505366948357032,0.6413268864614505,0.41068478179795137,1.0
